Step# X(mm) Y(mm) Z(mm) KinE(MeV) dE(MeV) StepLeng TrackLeng
0 -150 0 0 150 0 0 0
1 -147 0 0 149 1.43 3 3
2 -144 -0.00611 -0.0125 147 1.73 3 6
3 -141 -0.0118 -0.0196 145 1.93 3 9
4 -138 -0.0266 -0.0279 143 1.77 3 12
5 -135 -0.0455 -0.0239 141 1.78 3 15
6 -132 -0.062 -0.0197 140 1.65 3 18
7 -129 -0.178 -0.0248 138 1.79 3 21
8 -126 -0.277 -0.0382 136 1.58 3 24
9 -123 -0.377 -0.0628 135 1.56 3 27
10 -120 -0.482 -0.0757 133 1.9 3 30
11 -117 -0.571 -0.114 131 1.53 3 33
12 -114 -0.637 -0.165 130 1.65 3 36
13 -111 -0.699 -0.21 128 1.6 3 39
14 -108 -0.777 -0.262 126 2.03 3 42
15 -105 -0.843 -0.335 124 1.78 3 45
16 -102 -0.928 -0.405 122 2.09 3 48
17 -99 -1 -0.473 120 1.92 3 51
18 -96 -1.06 -0.529 118 1.89 3 54
19 -93 -1.11 -0.602 117 1.85 3 57
20 -90 -1.15 -0.682 115 1.65 3 60
21 -87 -1.19 -0.774 113 2.01 3 63
22 -84 -1.25 -0.859 111 2.05 3 66
23 -81 -1.32 -0.935 109 2.15 3 69
24 -78 -1.4 -1 107 2.06 3 72
25 -75 -1.5 -1.07 105 2.04 3 75
26 -72 -1.63 -1.11 103 2.02 3 78
27 -69 -1.76 -1.13 100 2.14 3 81
28 -66 -1.9 -1.14 97.8 2.62 3 84
29 -63 -2.09 -1.14 95.1 2.68 3.01 87
30 -60 -2.31 -1.13 92.7 2.49 3.01 90.1
31 -57 -2.52 -1.11 90.3 2.32 3.01 93.1
32 -54 -2.74 -1.11 88 2.33 3.01 96.1
33 -51 -2.98 -1.09 85.4 2.63 3.01 99.1
34 -48 -3.23 -1.12 83.1 2.27 3.01 102
35 -45 -3.48 -1.11 80.7 2.37 3.01 105
36 -42 -3.71 -1.06 78.4 2.31 3.01 108
37 -39 -3.94 -1 75.8 2.6 3.01 111
38 -36 -4.15 -0.949 73.1 2.73 3.01 114
39 -33 -4.42 -0.989 70 3.08 3.01 117
40 -30 -4.7 -1.05 67 3.01 3.01 120
41 -27 -4.97 -1.11 64 2.95 3.01 123
42 -24 -5.23 -1.21 61.1 2.91 3.01 126
43 -21 -5.51 -1.37 57.7 3.39 3.02 129
44 -18 -5.78 -1.56 54.2 3.58 3.02 132
45 -15 -6.05 -1.76 50.6 3.52 3.02 135
46 -12 -6.33 -1.91 46.9 3.73 3.02 138
47 -9 -6.6 -2.08 43.1 3.82 3.02 141
48 -6 -6.81 -2.32 38.9 4.23 3.02 144
49 -3.01 -7.03 -2.51 34.3 4.57 3 147
50 -3 -7.03 -2.51 34.3 0.0161 0.0133 147
51 -0.581 -7.12 -2.63 29.9 4.35 2.42 150
52 0 -7.14 -2.66 28.7 1.27 0.582 150
53 1.79 -7.2 -2.76 25.1 3.56 1.8 152
54 3 -7.23 -2.88 22.2 2.92 1.21 153
55 4.18 -7.28 -2.99 19.4 2.8 1.19 155
56 5.14 -7.32 -3.11 16.7 2.72 0.967 155
57 5.91 -7.35 -3.19 14.1 2.53 0.774 156
58 6 -7.35 -3.2 13.9 0.276 0.0887 156
59 6.6 -7.38 -3.25 11.5 2.33 0.599 157
60 7.07 -7.4 -3.3 9.52 2.01 0.474 157
61 7.44 -7.42 -3.33 7.58 1.94 0.38 158
62 7.74 -7.44 -3.36 5.66 1.92 0.301 158
63 7.97 -7.44 -3.39 3.77 1.89 0.233 158
64 8.14 -7.44 -3.42 1.65 2.12 0.169 158
65 8.19 -7.44 -3.43 0 1.65 0.0552 159
