Step#	X(mm)	Y(mm)	Z(mm)	KinE(MeV)	dE(MeV)	StepLeng	TrackLeng
0	-150	0	0	150	0	0	0
1	-147	0	0	148	1.67	3	3
2	-144	-0.00611	-0.0125	147	1.48	3	6
3	-141	-44	-0.0251	145	1.49	3	9
4	-138	-76	-0.0363	144	1.8	3	12
5	-135	-112	-0.0352	142	2.03	3	15
6	-132	-141	-0.0386	140	1.72	3	18
7	-129	-161	-0.0227	138	1.56	3	21
8	-126	-0.19	-0.0136	137	1.65	3	24
9	-123	-223	0.00706	135	1.43	3	27
10	-120	-0.26	0.0213	134	1.56	3	30
11	-117	-299	0.0424	132	1.69	3	33
12	-114	-333	0.0682	130	1.63	3	36
13	-111	-0.36	0.0968	128	1.87	3	39
14	-108	-0.39	122	127	1.67	3	42
15	-105	-425	132	125	1.81	3	45
16	-102	-0.46	125	123	1.68	3	48
17	-99	-0.5	0.0987	121	1.87	3	51
18	-96	-539	0.0753	120	1.8	3	54
19	-93	-575	0.0402	118	2.01	3	57
20	-90	-584	-0.00554	115	2.13	3	60
21	-87	-605	-0.0498	113	1.96	3	63
22	-84	-631	-101	111	2.14	3	66
23	-81	-682	-132	109	1.94	3	69
24	-78	-749	-157	107	2.21	3	72
25	-75	-806	-175	105	2.54	3	75
26	-72	-863	-195	102	2.29	3	78
27	-69	-925	-234	100	2.03	3	81
28	-66	-989	-275	97.4	2.9	3	84
29	-63	-1.03	-284	95.4	2.07	3	87
30	-60	-1.07	-306	93.4	1.97	3	90
31	-57	-1.1	-333	90.9	2.47	3	93
32	-54	-1.14	-347	88.8	2.16	3	96
33	-51	-1.16	-355	86.3	2.43	3	99
34	-48	-1.18	-385	83.8	2.52	3	102
35	-45	-1.18	-427	81.5	2.3	3	105
36	-42	-1.17	-496	79	2.52	3	108
37	-39	-1.17	-564	76.4	2.63	3	111
38	-36	-1.19	-654	73.7	2.66	3	114
39	-33	-1.19	-748	71.1	2.64	3	117
40	-30	-1.2	-844	68.3	2.79	3	120
41	-27	-1.23	-944	65.3	2.95	3	123
42	-24	-1.2	-1.08	62.4	2.89	3	126
43	-21	-1.19	-1.23	59.4	3.06	3	129
44	-18	-1.16	-1.38	55.9	3.48	3	132
45	-15.2	-1.11	-1.53	52.7	3.19	2.83	135
46	-15	-1.11	-1.54	52.6	164	174	135
47	-12.5	-1.16	-1.71	49.6	2.94	2.54	138
48	-12	-1.17	-1.74	49.1	521	465	138
49	-9.75	-1.24	-1.86	45.9	3.22	2.26	140
50	-9	-1.26	-1.89	44.9	999	747	141
51	-7.07	-1.33	-2	42.3	2.58	1.93	143
52	-6	-1.38	-2.07	40.8	1.49	1.07	144
53	-4.36	-1.46	-2.17	38.5	2.29	1.64	146
54	-3	-1.52	-2.25	36.2	2.32	1.37	147
55	-1.66	-1.56	-2.34	33.9	2.32	1.34	148
56	-464	-1.58	-2.41	31.8	2.05	1.2	150
57	1.11e-16	-1.6	-2.43	31.1	0.73	464	150
58	1.04	-1.62	-2.49	29	2.07	1.04	151
59	1.97	-1.63	-2.54	26.9	2.07	0.93	152
60	2.79	-1.65	-2.57	25.3	1.68	824	153
61	3	-1.66	-2.58	24.8	447	209	153
62	3.72	-1.67	-2.6	23.3	1.52	723	154
63	4.38	-1.69	-2.64	21.6	1.69	655	154
64	4.96	-1.71	-2.67	20	1.58	583	155
65	5.48	-1.73	-2.71	18.6	1.48	0.52	156
66	5.94	-1.75	-2.74	17.1	1.41	464	156
67	6	-1.75	-2.75	16.9	206	0.0624	156
68	6.41	-1.77	-2.77	15.7	1.21	408	156
69	6.77	-1.79	-2.8	14.5	1.24	368	157
70	7.1	-1.8	-2.82	13.4	1.08	0.33	157
71	7.4	-1.81	-2.84	12.3	1.14	298	157
72	7.67	-1.82	-2.86	11.2	1.03	267	158
73	7.91	-1.82	-2.88	10.2	1.07	241	158
74	8.12	-1.83	-2.9	9.18	971	216	158
75	8.31	-1.84	-2.91	8.23	957	195	158
76	8.49	-1.84	-2.92	7.24	985	175	159
77	8.65	-1.84	-2.93	6.23	1.01	157	159
78	8.79	-1.85	-2.94	5.22	1.01	0.14	159
79	8.91	-1.85	-2.94	4.22	1	124	159
80	9	-1.86	-2.94	3.29	0.93	0.0914	159
81	9.09	-1.87	-2.94	2.1	1.18	0.0951	159
82	9.17	-1.88	-2.94	595	1.51	0.0713	159
83	9.18	-1.88	-2.94	0	595	0.0115	159
