# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,329.5286384739017,114.8372550496859,1000
1,0,0,330.0070743483186,131.5085061841718,1000
2,0,0,338.6698080635695,266.0692883217986,1000
3,0,0,340.6194104541318,434.9734303633096,1000
4,0,0,329.3773728776298,117.4835722633041,1000
5,0,0,340.0008297177829,160.2104383689587,1000
6,0,0,337.2089366034422,152.2742202812973,999
7,0,0,342.4476433353333,260.9145681483205,999
8,0,0,351.2222118140147,534.1399632770749,999
9,0,0,340.9885522179467,278.9459066836442,999
10,0,0,337.1936060455998,150.7878247931436,998
11,0,0,335.821089634025,132.4563081475471,998
12,0,0,355.0908609018079,439.9490602097466,997
13,0,0,359.3616375258357,314.1821917336064,997
14,0,0,359.1582694859646,295.729441060659,997
15,0,0,364.32779297141,387.4564696718892,997
16,0,0,372.233068243126,422.6705422812278,997
17,0,0,372.7507885765044,523.6650809449696,998
18,0,0,357.4130739822985,306.2256382011405,996
19,0,0,356.5220704815126,252.940463527731,996
20,0,0,351.8868157177222,197.2341150712231,996
21,0,0,364.9276940282984,363.0146871397762,996
22,0,0,352.0133599323125,271.5396590278309,996
23,0,0,350.6768061068296,195.2327766120441,996
24,0,0,337.1438580477696,128.1764268383542,994
25,0,0,359.7986509654474,254.4591803246528,995
26,0,0,358.700240906502,258.953865818251,994
27,0,0,385.4671072373401,577.78612618162,994
28,0,0,395.1010017826636,1073.753195014787,993
29,0,0,380.8380989642427,472.6714367285112,993
30,0,0,391.8828181953601,768.0343116352425,993
31,0,0,374.4902081069031,351.1761378971333,993
32,0,0,372.3630843039058,305.802091512014,993
33,0,0,364.7484131607057,210.279577880693,992
34,0,0,362.0731467266582,223.0490608919183,991
35,0,0,372.692585315758,318.412160996389,991
36,0,0,376.948572465269,502.1883354375607,990
37,0,0,352.3162690611057,171.5196633004617,990
38,0,0,357.9514850826698,151.4289504385413,989
39,0,0,389.2506729477523,700.2819729068318,988
40,0,0,353.8304271468542,149.9034995073242,987
41,0,0,358.299544959119,168.7416311498472,988
42,0,0,363.3885895867329,226.6126456729542,988
43,0,0,374.9383666860741,414.9208430202698,987
44,0,0,391.4313031127255,647.5010252686668,987
45,0,0,372.4522653072128,270.9804412579079,987
46,0,0,387.8029285429695,387.5757695084642,985
47,0,0,378.6876690580369,379.8803657498781,986
48,0,0,394.1150680278865,446.1644672558696,985
49,0,0,411.9124050939473,653.8346124484872,986
50,0,0,409.8325287152705,729.746004608621,987
51,0,0,399.0286480951218,490.0762038991659,986
52,0,0,387.050233926735,292.2270830367752,984
53,0,0,493.2737066085367,7376.304471413052,984
54,0,0,420.6328698057548,555.4097818667725,986
55,0,0,385.1827872098841,248.7360325903689,984
56,0,0,382.1536536077923,257.4387769283646,983
57,0,0,382.1221050879606,237.8716483333194,982
58,0,0,409.2654780297657,677.8351598069685,983
59,0,0,390.7531409670121,244.0584928884948,981
60,0,0,388.248543003281,242.6644254199958,981
61,0,0,392.6419044115148,275.4503151538613,982
62,0,0,401.3587188439879,355.3962510923595,980
63,0,0,399.435976145846,412.2698712547663,979
64,0,0,402.2478905280775,594.9876069637517,979
65,0,0,372.4890040194587,187.4205315107412,978
66,0,0,389.203439476022,710.3248418521614,978
67,0,0,375.452309266601,202.2119122614064,980
68,0,0,375.3958669445876,178.330657235034,979
69,0,0,408.9561724807234,1073.114819709482,977
70,0,0,410.0501330977546,972.8855767223408,978
71,0,0,393.1430296161242,293.6722317867701,979
72,0,0,403.9628865518553,456.4236399068952,977
73,0,0,401.0393346939445,356.0338752266044,976
74,0,0,399.8972831769262,341.1078179321389,975
75,0,0,420.7561931139338,1188.403122999252,974
76,0,0,413.9676632344627,516.1851343018429,975
77,0,0,418.9530568086589,537.3720747880676,975
78,0,0,402.3908698775805,255.738727394392,976
79,0,0,401.0506768835411,274.935156828995,976
80,0,0,431.3967642004034,1037.518287591456,976
81,0,0,433.2942232069216,831.3621767858248,974
82,0,0,414.325226836309,341.207169509696,972
83,0,0,412.5214902160554,369.3642703244959,972
84,0,0,418.2646476158737,397.8337915690595,971
85,0,0,411.7670696852349,447.7533175669579,969
86,0,0,401.1251614265549,289.5286429516718,968
87,0,0,420.7242024482277,852.4315938356327,970
88,0,0,422.3651766947036,529.4566595126159,968
89,0,0,403.7742033171089,298.3584152088659,969
90,0,0,394.3066874941915,217.7154014309113,967
91,0,0,413.4330951200475,293.7361288479733,967
92,0,0,419.5104021055749,432.5644703620104,965
93,0,0,411.8841768164408,289.4714542044839,964
94,0,0,418.1112737695776,482.7481878185952,964
95,0,0,422.2062697489922,410.8537000882998,963
96,0,0,405.6985005186034,267.50032190634,964
97,0,0,414.8582992127375,403.5069066482448,963
98,0,0,398.6975670705044,212.3945701073247,965
99,0,0,414.4603471836626,307.6080635595586,963
100,0,0,418.7823365037712,351.258152441302,965
101,0,0,428.8792901867838,549.0585336789254,962
102,0,0,409.4928548613464,283.2954552536333,961
103,0,0,416.5121722922576,512.4373784134804,960
104,0,0,401.6343039913123,218.0127234489101,956
105,0,0,417.5044146426182,424.608805052111,956
106,0,0,401.1437145713574,229.4058049484941,956
107,0,0,407.9783721668896,274.9441534228658,954
108,0,0,400.9990906744146,199.9345745899697,955
109,0,0,404.2332465108358,222.987414457686,953
110,0,0,399.75977899822,187.2024118353457,955
111,0,0,433.6450582749374,820.9990983848414,956
112,0,0,411.3700410572788,208.7000744315846,954
113,0,0,416.0440521228127,244.4755228079798,953
114,0,0,417.0944408723855,243.6141025574778,954
115,0,0,414.2513900496069,227.8780539248067,954
116,0,0,482.3470054153026,2265.779277461175,954
117,0,0,436.4084216767264,328.7046170711393,952
118,0,0,427.5413443870335,284.4250773990455,951
119,0,0,463.6020876883244,1160.263914546682,951
120,0,0,420.3335825995408,247.6916690985663,950
121,0,0,449.9429061713311,1653.554049949078,947
122,0,0,433.1252296153845,378.9448601190847,948
123,0,0,426.4756711964769,266.7454731654161,947
124,0,0,429.4844594642457,264.2682708026035,946
125,0,0,435.0168866100935,306.7842414236255,947
126,0,0,460.8258738421096,836.4342003675473,946
127,0,0,452.6468488603018,590.4095721005422,947
128,0,0,436.3493832745253,283.7296493682672,943
129,0,0,440.3453364854428,312.9453378343188,943
130,0,0,437.1095903991391,284.4773746993537,943
131,0,0,479.5704449077642,951.9094882304884,945
132,0,0,453.5828557500336,400.3356627287785,944
133,0,0,462.6144417034522,479.6857602458575,942
134,0,0,439.992228544996,264.2544890178784,945
135,0,0,456.5455631507969,515.2264090505943,945
136,0,0,465.9702891158594,454.962777471686,942
137,0,0,470.7341148689497,538.0771139339345,942
138,0,0,459.1739714533134,412.4793553018988,943
139,0,0,462.3131635270546,714.1265372161355,938
140,0,0,449.2888352462996,276.7267381124903,938
141,0,0,455.2219244819375,332.7193428095274,936
142,0,0,452.4695532597284,304.2247013939564,937
143,0,0,477.603132996817,1037.424551046274,938
144,0,0,456.5942596025215,359.4695226566989,936
145,0,0,469.5309318754126,444.1992866830774,938
146,0,0,462.5435181341729,378.5221434720837,937
147,0,0,454.2249947660247,279.449000832717,932
148,0,0,475.1828298026802,736.8177913505077,931
149,0,0,464.1432217782409,329.2212916712405,935
150,0,0,460.6376816895387,298.9816068298387,930
151,0,0,457.7915555893162,295.1636062248984,932
152,0,0,460.9989574937633,306.6399776086644,931
153,0,0,462.2433247902487,281.9830041148141,931
154,0,0,466.7061639506481,322.7921714174439,928
155,0,0,498.1517572061054,1496.241839337968,929
