# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0.2702550821205669,0.07303780941199438,1
1,0,0,0.3696627774719732,0.1366505690482936,1
2,0,0,0.3864261341210034,0.1493251571317037,1
3,0,0,0.3335741272788541,0.1112716983898492,1
4,0,0,0.3291286313593329,0.1083256559804677,1
5,0,0,0.5442855154384174,0.2962467223160637,1
6,0,0,0.2856909641670093,0.08161932700667542,1
7,0,0,0.2886723170855133,0.08333170665151912,1
8,0,0,0.3339184519390955,0.1115015325454021,1
9,0,0,0.3094425530482601,0.09575469363702528,1
10,0,0,0.2944884745639668,0.08672346165101209,1
11,0,0,0.295439680815887,0.08728460500059317,1
12,0,0,0.2629542528055752,0.06914493906853836,1
13,0,0,0.49162710632816,0.2416972116765999,1
14,0,0,0.2939171631362125,0.08638729878603897,1
15,0,0,0.3449884468531693,0.119017028462162,1
16,0,0,0.2569555371845673,0.06602614808980956,1
17,0,0,0.3274176868941328,0.1072023416911043,1
18,0,0,0.2811542655603196,0.07904772104276274,1
19,0,0,0.3961318412456006,0.1569204356486298,1
20,0,0,0.3222902034877653,0.1038709752641852,1
21,0,0,0.3637541533080579,0.1323170840488621,1
22,0,0,0.3316251444339715,0.1099752364208524,1
23,0,0,0.2929446495682352,0.08581656771065611,1
24,0,0,0.2890011075738107,0.0835216401788893,1
25,0,0,0.2900043718436565,0.08410253568843376,1
26,0,0,0.3083305012514571,0.09506769800197476,1
27,0,0,0.5152828289939521,0.2655163938560104,1
28,0,0,0.4218608824370753,0.1779666041305879,1
29,0,0,0.2805900987124864,0.07873080349548287,1
30,0,0,0.3932449724557595,0.154641608361731,1
31,0,0,0.6153486642739776,0.3786539786237684,1
32,0,0,0.2838199640745208,0.08055377200726228,1
33,0,0,0.293583642562365,0.08619135518018647,1
34,0,0,0.2677890005195633,0.07171094879926669,1
35,0,0,0.2857885315917486,0.08167508478936786,1
36,0,0,0.4137988818710887,0.1712295146377632,1
37,0,0,0.3367551587144553,0.113404036920798,1
38,0,0,0.3395843497867398,0.1153175306200829,1
39,0,0,0.2570847916866968,0.06609259011659228,1
40,0,0,0.5314658625774413,0.2824559630851837,1
41,0,0,0.2781707808803049,0.07737898333555863,1
42,0,0,0.3121386916416313,0.09743056281974941,1
43,0,0,0.3572009573115084,0.1275925239042581,1
44,0,0,0.2736900949223711,0.07490626805861651,1
45,0,0,0.4244202955414035,0.1801325872674523,1
46,0,0,0.4236254035437278,0.1794584825275862,1
47,0,0,0.2840772923154524,0.08069990800927897,1
48,0,0,0.5085340666993658,0.2586068969937951,1
49,0,0,0.3788645317687572,0.1435383334323596,1
50,0,0,0.3999110250764449,0.1599288279776929,1
51,0,0,0.4978276843142556,0.2478324032696941,1
52,0,0,0.3354495584938877,0.1125264062937442,1
53,0,0,0.3478391534139821,0.1209920766477558,1
54,0,0,0.3184930131284986,0.10143779941167,1
55,0,0,0.3044041516773734,0.09266188755842138,1
56,0,0,0.3942045170419559,0.1553972012562817,1
57,0,0,0.3269432026990626,0.1068918577911204,1
58,0,0,0.577143407529328,0.333094512854564,1
59,0,0,0.3612751517801187,0.1305197352937478,1
60,0,0,0.3126465280240022,0.09774785148546321,1
61,0,0,0.7020757914668093,0.4929104169637467,1
62,0,0,0.3070554075955511,0.09428302333366999,1
63,0,0,0.4699737770406492,0.2208753511058538,1
