# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,328.9410535573958,114.1705602274891,1000
1,0,0,330.4213722323599,132.3997768432203,1000
2,0,0,336.8545488716025,262.2225564681839,1000
3,0,0,340.3499548081381,435.2255191430287,1000
4,0,0,328.7333549275805,116.3639902755678,1000
5,0,0,341.1612473910234,164.2094251119229,1000
6,0,0,337.0449193860907,152.3800794258088,999
7,0,0,334.8378376709999,130.3463890809299,999
8,0,0,350.475289266332,527.2307567420354,999
9,0,0,341.4241261293644,278.3487795995607,999
10,0,0,335.0693561976188,133.282074433008,998
11,0,0,335.6385271181483,133.0349925973556,998
12,0,0,358.8181610619707,463.756574712414,998
13,0,0,363.729961554379,336.2841962726679,998
14,0,0,360.2436867535267,300.670651927308,998
15,0,0,364.4694047916296,387.8870329939207,997
16,0,0,370.1233455103286,417.8807286445476,997
17,0,0,372.2117188379638,523.6840845030307,998
18,0,0,359.1145888292725,317.8085429936953,996
19,0,0,355.3507814368343,242.0754226059147,996
20,0,0,349.4348163711333,191.1075334280762,996
21,0,0,364.7133208433891,362.2107516841307,996
22,0,0,351.5768569373027,271.3833774420639,996
23,0,0,349.8113755468988,193.8411816424976,996
24,0,0,337.7446990213141,128.4528200200091,994
25,0,0,358.4481138013703,252.8398000163194,994
26,0,0,356.8236212230049,252.7532288184044,993
27,0,0,381.2398844112739,566.2035468886543,993
28,0,0,392.0608938440452,1128.912555953644,992
29,0,0,376.2682674668825,456.5791248229784,992
30,0,0,389.4444845210724,752.3841365545289,992
31,0,0,365.741584841219,275.4198093299958,992
32,0,0,379.0913978154827,361.4970846176365,992
33,0,0,364.6408670803551,202.4254953055547,993
34,0,0,363.1334629845231,219.0024394257531,992
35,0,0,371.9489089911029,325.2897471951259,991
36,0,0,385.9389730487763,577.540264908606,991
37,0,0,353.2793166791615,173.5740231663046,990
38,0,0,361.6902197310143,164.5857698740438,990
39,0,0,387.2836434853696,696.8890596693985,988
40,0,0,357.5898709668336,181.4570997434749,987
41,0,0,359.7650229973347,178.4335482819668,987
42,0,0,353.8413798494879,152.7043572785442,986
43,0,0,361.1311372293338,176.1278120516625,987
44,0,0,394.9239762535957,662.1983794878641,986
45,0,0,367.8587585604603,255.9678998077344,985
46,0,0,397.7473595854325,572.9945187508848,985
47,0,0,373.4742910371119,331.1219172927179,985
48,0,0,388.2222315163473,394.7167518826887,985
49,0,0,411.591255862205,649.7061085445757,985
50,0,0,402.3753477954774,649.5622547113552,985
51,0,0,385.7494552050294,333.4862716947687,985
52,0,0,390.4341115770424,295.0045133421542,985
53,0,0,483.1607018077344,5517.050167286981,985
54,0,0,430.2275292030617,817.3407848867105,986
55,0,0,385.3758652860572,238.9727723910672,985
56,0,0,385.906432693666,269.6241471115002,984
57,0,0,383.0985074483424,234.7384759759999,982
58,0,0,387.2405381329685,266.7903593950964,982
59,0,0,394.644780738072,278.7456828927366,983
60,0,0,397.8379021738328,351.7156084955087,981
61,0,0,389.1404875956457,257.5227953797977,981
62,0,0,391.8908025382373,291.142716267054,980
63,0,0,389.8136315194133,297.3289708042543,979
64,0,0,397.6046656925137,454.678488050492,979
65,0,0,377.7071370431031,202.2792193627027,980
66,0,0,391.0397527561901,727.9923740744779,979
67,0,0,375.9484717950479,200.5287705103478,979
68,0,0,377.7365404130512,181.9067452850044,978
69,0,0,410.6642776492783,1068.263746816096,979
70,0,0,412.1617559868705,959.7555247399692,978
71,0,0,395.189777753534,298.7867062090458,980
72,0,0,406.1678754790057,450.6107669336371,979
73,0,0,407.1247334207052,378.380103999923,977
74,0,0,395.284612706873,238.8462361714347,978
75,0,0,396.7265364720829,246.230653147087,977
76,0,0,396.4232720037582,233.0303167913144,976
77,0,0,421.3298062767156,660.8899327177128,977
78,0,0,406.1752666778465,274.4794503472402,979
79,0,0,402.5263275810627,293.7905234773973,976
80,0,0,432.0693960904277,1017.586008856114,977
81,0,0,441.1702954857599,877.0512844208807,976
82,0,0,414.4366358383585,331.4507642136477,974
83,0,0,405.3423555602625,275.7632778888427,977
84,0,0,415.8546030098091,363.1290780207541,975
85,0,0,412.0517467341376,424.0639361548719,974
86,0,0,399.3078793307874,231.0528724285948,971
87,0,0,414.1105362958018,802.0211836454775,970
88,0,0,417.4570546209057,484.5699874717652,969
89,0,0,401.4424340333572,289.249705808319,971
90,0,0,393.8897577018366,201.4191809476879,968
91,0,0,408.0245161669692,240.7461322098033,968
92,0,0,425.3736446999693,442.4180243907427,968
93,0,0,418.082560673368,339.1287806799083,969
94,0,0,413.7215472765874,428.7871543629642,966
95,0,0,415.5561132348244,315.3803922936691,966
96,0,0,411.2279608893697,287.9406626463233,966
97,0,0,417.8819040137028,355.9980947363256,967
98,0,0,408.1433054167084,252.0340642666089,965
99,0,0,408.2867899060908,224.2985067237481,967
100,0,0,414.593794000428,296.5408128919871,966
101,0,0,415.1540655103514,289.7799529159265,964
102,0,0,414.5444201043711,267.6672793090125,964
103,0,0,413.4485108904973,361.9883703902728,962
104,0,0,410.8339986106325,234.5515044954744,960
